Year,Make,Price,Mileage,Color,Transmission
2000,JEEP,3800,109259,Red,AUTO
2000,TOYOTA,5980,96841,Red,AUTO
2000,FORD,6980,60161,Green,AUTO
2001,JEEP,4899,151479,Yellow,AUTO
2002,JEEP,5995,87003,Red,AUTO
2003,HONDA,7900,96000,White,AUTO
2004,HONDA,6950,119720,Black,AUTO
2004,HONDA,6980,101130,Gray,AUTO
2004,JEEP,6999,105714,Silver,AUTO
2004,JEEP,12718,36120,Silver,AUTO
2005,HONDA,7488,59013,Red,AUTO
2005,HONDA,8488,36120,Red,AUTO
2005,HONDA,10995,69415,Blue,AUTO
2006,HONDA,6200,95000,Silver,AUTO
2006,HONDA,7995,35000,Black,MANUAL
2006,HONDA,7995,97987,Red,AUTO
2006,TOYOTA,8800,71331,White,AUTO
2006,JEEP,8999,49656,Silver,AUTO
2006,JEEP,9995,51311,Silver,AUTO
2007,JEEP,6995,86862,White,AUTO
2007,HONDA,7999,81596,Yellow,MANUAL
2007,JEEP,8996,48652,Silver,MANUAL
2007,HONDA,9000,80605,Red,AUTO
2007,TOYOTA,9651,63296,Blue,AUTO
2007,HONDA,9999,74427,Silver,AUTO
2007,HONDA,9999,78948,Black,MANUAL
2007,HONDA,10000,63926,Red,AUTO
2007,JEEP,10770,72937,Silver,MANUAL
2007,HONDA,10815,77231,Red,AUTO
2007,JEEP,12997,39665,Red,AUTO
2008,JEEP,8494,68901,Silver,AUTO
2008,JEEP,8495,106171,Black,AUTO
2008,JEEP,9992,74109,White,AUTO
2008,JEEP,9995,95364,White,AUTO
2008,FORD,10836,40330,Green,MANUAL
2008,TOYOTA,10955,39643,Gray,AUTO
2008,JEEP,11450,85229,Red,MANUAL
2008,HONDA,11495,82221,Silver,AUTO
2008,HONDA,11749,57341,Red,AUTO
2008,JEEP,11754,38286,Black,AUTO
2008,FORD,12500,45996,White,MANUAL
2008,HONDA,12704,36323,Blue,AUTO
2008,FORD,12777,49787,Black,MANUAL
2008,JEEP,12995,127327,Red,AUTO
2009,TOYOTA,8480,70036,White,MANUAL
2009,JEEP,10955,40180,Gold,AUTO
2009,JEEP,10979,60709,Red,AUTO
2009,BMW,10995,78264,Gray,AUTO
2009,HONDA,10995,42834,Red,AUTO
2009,TOYOTA,11980,55170,Red,AUTO
2009,HONDA,11984,59048,Black,AUTO
2009,FORD,11992,32559,Black,MANUAL
2009,FORD,11999,36124,Blue,AUTO
2009,FORD,12280,29288,Red,AUTO
2009,FORD,12500,54988,White,MANUAL
2009,TOYOTA,12507,44789,Gray,AUTO
2009,HONDA,12595,39211,Blue,AUTO
2009,JEEP,12988,31538,Gray,AUTO
2009,HONDA,12990,45813,Silver,AUTO
2009,JEEP,12992,27136,Gray,AUTO
2009,JEEP,12995,42325,Blue,AUTO
